order_id,order_date,region,channel,customer_id,product_id,units,revenue,status
ORD-100053,2025-06-07,APAC,Web,CUST-2715,SKU-1021,3,71.83,cancelled
ORD-100054,2025-07-24,LATAM,Web,CUST-2533,SKU-1009,3,295.38,refunded
ORD-100055,2024-06-25,EMEA,Retail,CUST-2903,SKU-1008,4,432.51,fulfilled
ORD-100056,2024-02-27,APAC,Wholesale,CUST-1722,SKU-1001,3,454.71,fulfilled
ORD-100057,2024-08-21,LATAM,Web,CUST-4614,SKU-1017,1,84.41,fulfilled
ORD-100058,2025-09-03,APAC,Web,CUST-2603,SKU-1015,1,58.93,fulfilled
ORD-100059,2025-01-18,EMEA,Retail,CUST-3131,SKU-1001,5,766,fulfilled
ORD-100060,2025-05-01,AMER,Web,CUST-4169,SKU-1001,3,564.47,fulfilled
ORD-100061,2025-08-29,LATAM,Retail,CUST-1919,SKU-1015,3,189.67,fulfilled
ORD-100062,2025-04-10,AMER,Wholesale,CUST-4844,SKU-1015,5,456.74,fulfilled
ORD-100063,2025-07-14,APAC,Retail,CUST-1540,SKU-1012,1,75.71,cancelled
ORD-100064,2024-12-14,EMEA,Wholesale,CUST-3007,SKU-1004,4,594.53,fulfilled
ORD-100065,2025-03-10,AMER,Wholesale,CUST-1544,SKU-1004,4,703.25,fulfilled
ORD-100066,2024-02-15,AMER,Retail,CUST-2017,SKU-1013,3,253.25,fulfilled
ORD-100067,2025-09-01,APAC,Wholesale,CUST-2738,SKU-1016,5,205.17,cancelled
ORD-100068,2025-10-13,APAC,Retail,CUST-3818,SKU-1020,3,176.87,cancelled
ORD-100069,2024-01-24,APAC,Retail,CUST-3750,SKU-1011,2,48.82,fulfilled
ORD-100070,2024-02-17,APAC,Wholesale,CUST-2420,SKU-1020,5,442.65,refunded
ORD-100071,2024-07-26,LATAM,Retail,CUST-3029,SKU-1003,4,755.33,refunded
ORD-100072,2024-01-13,APAC,Web,CUST-4157,SKU-1002,2,412.91,fulfilled
ORD-100073,2025-10-05,APAC,Wholesale,CUST-1425,SKU-1014,3,205.93,fulfilled
ORD-100074,2024-08-25,AMER,Web,CUST-4609,SKU-1019,4,52.64,fulfilled
ORD-100075,2024-02-14,EMEA,Wholesale,CUST-1313,SKU-1012,1,66.12,fulfilled
ORD-100076,2024-08-04,AMER,Wholesale,CUST-4828,SKU-1005,1,19.99,fulfilled
ORD-100077,2025-08-06,AMER,Retail,CUST-1519,SKU-1017,5,492.44,cancelled
ORD-100078,2024-10-30,APAC,Web,CUST-4630,SKU-1004,5,551.39,refunded
ORD-100079,2025-01-02,EMEA,Wholesale,CUST-4471,SKU-1017,3,328.12,refunded
ORD-100080,2024-08-17,APAC,Web,CUST-4278,SKU-1019,1,15.34,refunded
ORD-100081,2025-05-22,LATAM,Retail,CUST-4505,SKU-1021,3,66.72,fulfilled
ORD-100082,2025-10-05,LATAM,Web,CUST-3368,SKU-1009,2,144.53,refunded
ORD-100083,2024-10-25,APAC,Retail,CUST-3488,SKU-1016,5,180,fulfilled
ORD-100084,2025-10-26,APAC,Web,CUST-2780,SKU-1019,5,64.43,refunded
ORD-100085,2025-06-25,LATAM,Web,CUST-3104,SKU-1015,5,464.96,cancelled
ORD-100086,2024-05-27,EMEA,Wholesale,CUST-3531,SKU-1008,5,512.91,fulfilled
ORD-100087,2025-07-04,EMEA,Web,CUST-2689,SKU-1008,4,396.86,fulfilled
ORD-100088,2025-08-16,APAC,Retail,CUST-3073,SKU-1016,4,155.04,fulfilled
ORD-100089,2025-04-01,LATAM,Web,CUST-3242,SKU-1010,5,281.56,refunded
ORD-100090,2024-05-27,AMER,Web,CUST-3032,SKU-1013,4,368.06,cancelled
ORD-100091,2025-12-20,EMEA,Web,CUST-1231,SKU-1021,3,55.43,fulfilled
ORD-100092,2024-12-31,EMEA,Retail,CUST-4658,SKU-1008,2,182.89,fulfilled
ORD-100093,2025-12-07,AMER,Wholesale,CUST-1666,SKU-1002,5,899.24,fulfilled
ORD-100094,2025-06-18,APAC,Web,CUST-2971,SKU-1018,3,135.57,fulfilled
ORD-100095,2024-01-06,AMER,Web,CUST-3155,SKU-1008,5,470.22,fulfilled
ORD-100096,2025-04-04,APAC,Retail,CUST-4208,SKU-1007,3,92.85,cancelled
ORD-100097,2024-07-15,APAC,Web,CUST-1325,SKU-1008,1,88.22,refunded
ORD-100098,2024-07-31,EMEA,Wholesale,CUST-3424,SKU-1003,2,420.01,fulfilled
ORD-100099,2024-09-03,EMEA,Retail,CUST-2806,SKU-1019,5,71.39,fulfilled
ORD-100100,2025-11-01,EMEA,Web,CUST-4680,SKU-1017,3,277.11,fulfilled
ORD-100101,2024-10-07,EMEA,Web,CUST-4128,SKU-1011,4,77.37,cancelled
ORD-100102,2024-03-30,AMER,Wholesale,CUST-4963,SKU-1014,2,208.1,refunded
ORD-100103,2024-01-08,AMER,Web,CUST-1740,SKU-1019,4,68.85,fulfilled
ORD-100104,2024-08-17,EMEA,Wholesale,CUST-2112,SKU-1021,2,34.73,fulfilled
ORD-100105,2024-02-15,EMEA,Retail,CUST-4799,SKU-1001,4,681.54,refunded
ORD-100106,2025-03-31,LATAM,Retail,CUST-4626,SKU-1020,1,93.95,cancelled
ORD-100107,2025-10-23,EMEA,Wholesale,CUST-4914,SKU-1005,2,38.66,refunded
ORD-100108,2024-01-25,LATAM,Retail,CUST-3054,SKU-1006,5,514.8,cancelled
ORD-100109,2025-10-17,APAC,Web,CUST-3011,SKU-1017,2,166.15,fulfilled
ORD-100110,2025-08-02,EMEA,Web,CUST-2865,SKU-1002,5,1055.57,refunded
ORD-100111,2024-08-11,EMEA,Wholesale,CUST-2945,SKU-1012,2,119.42,fulfilled
ORD-100112,2025-09-19,EMEA,Retail,CUST-4043,SKU-1001,3,369.47,fulfilled
ORD-100113,2024-11-06,EMEA,Wholesale,CUST-4669,SKU-1001,4,498.19,fulfilled
ORD-100114,2025-04-14,AMER,Retail,CUST-4955,SKU-1006,1,117.27,fulfilled
ORD-100115,2024-10-28,APAC,Retail,CUST-2162,SKU-1018,3,125.06,fulfilled
ORD-100116,2025-01-02,LATAM,Wholesale,CUST-3773,SKU-1010,4,174.75,fulfilled
ORD-100117,2025-08-25,APAC,Retail,CUST-3503,SKU-1018,4,157.89,cancelled
ORD-100118,2025-12-15,AMER,Retail,CUST-4730,SKU-1010,5,247.39,refunded
ORD-100119,2025-08-14,LATAM,Web,CUST-1557,SKU-1014,4,279.1,cancelled
ORD-100120,2025-07-15,AMER,Retail,CUST-2366,SKU-1014,2,159.78,fulfilled
ORD-100121,2025-02-02,EMEA,Web,CUST-2858,SKU-1015,2,194.57,fulfilled
ORD-100122,2024-01-25,LATAM,Retail,CUST-4491,SKU-1003,2,480.05,fulfilled
ORD-100123,2024-02-21,LATAM,Web,CUST-4885,SKU-1003,2,532.18,fulfilled
ORD-100124,2024-11-21,LATAM,Retail,CUST-1112,SKU-1011,5,101.96,fulfilled
ORD-100125,2024-02-06,EMEA,Wholesale,CUST-2478,SKU-1012,2,158.75,refunded
ORD-100126,2024-03-06,APAC,Wholesale,CUST-4234,SKU-1006,1,130.03,fulfilled
ORD-100127,2024-03-13,EMEA,Web,CUST-2891,SKU-1003,2,427.67,fulfilled
ORD-100128,2025-08-24,EMEA,Retail,CUST-3280,SKU-1004,4,555.54,fulfilled
ORD-100129,2024-10-23,APAC,Retail,CUST-2965,SKU-1016,4,126.18,cancelled
ORD-100130,2025-05-15,AMER,Wholesale,CUST-2092,SKU-1001,1,177.76,fulfilled
ORD-100131,2024-03-13,EMEA,Wholesale,CUST-2529,SKU-1010,2,130.03,cancelled
ORD-100132,2024-08-05,AMER,Web,CUST-4587,SKU-1015,5,338.85,fulfilled
ORD-100133,2024-09-21,APAC,Retail,CUST-4527,SKU-1009,1,93.89,fulfilled
ORD-100134,2024-11-06,AMER,Web,CUST-3391,SKU-1019,3,39.94,fulfilled
ORD-100135,2024-06-17,APAC,Retail,CUST-2764,SKU-1021,3,74.44,fulfilled
ORD-100136,2024-07-18,APAC,Retail,CUST-1395,SKU-1017,1,108.81,fulfilled
ORD-100137,2024-09-25,AMER,Wholesale,CUST-2146,SKU-1006,2,184.9,fulfilled
ORD-100138,2024-01-19,EMEA,Web,CUST-4804,SKU-1003,5,1005.29,fulfilled
ORD-100139,2025-03-07,LATAM,Retail,CUST-3483,SKU-1008,5,487.35,cancelled
ORD-100140,2024-12-27,LATAM,Web,CUST-1341,SKU-1018,4,171.22,fulfilled
ORD-100141,2025-04-29,EMEA,Wholesale,CUST-1582,SKU-1010,2,123.07,fulfilled
ORD-100142,2025-12-12,EMEA,Retail,CUST-3991,SKU-1014,2,122.93,fulfilled
ORD-100143,2025-10-25,APAC,Wholesale,CUST-2306,SKU-1006,1,72.09,fulfilled
ORD-100144,2024-03-12,LATAM,Web,CUST-1035,SKU-1014,5,455.17,cancelled
ORD-100145,2024-12-19,LATAM,Wholesale,CUST-3919,SKU-1021,2,33.61,cancelled
ORD-100146,2025-06-03,APAC,Wholesale,CUST-4335,SKU-1004,1,143.5,fulfilled
ORD-100147,2025-01-24,EMEA,Retail,CUST-4592,SKU-1009,4,354.98,cancelled
ORD-100148,2025-09-01,APAC,Retail,CUST-1276,SKU-1003,5,908.4,refunded
ORD-100149,2024-04-23,EMEA,Retail,CUST-4627,SKU-1004,5,1025.77,fulfilled
ORD-100150,2024-11-30,APAC,Retail,CUST-2598,SKU-1010,1,40.96,fulfilled
ORD-100151,2024-11-28,AMER,Wholesale,CUST-1249,SKU-1018,5,200.87,cancelled
ORD-100152,2024-07-14,EMEA,Web,CUST-1326,SKU-1002,2,360.78,refunded
ORD-100153,2025-05-20,LATAM,Wholesale,CUST-2444,SKU-1004,3,518.2,fulfilled
ORD-100154,2024-11-07,EMEA,Retail,CUST-3772,SKU-1021,2,31.74,cancelled
ORD-100155,2024-07-03,LATAM,Retail,CUST-1169,SKU-1021,5,94.73,fulfilled
ORD-100156,2024-02-21,EMEA,Retail,CUST-4140,SKU-1001,4,721.87,fulfilled
ORD-100157,2024-11-09,LATAM,Retail,CUST-2300,SKU-1008,1,85.08,refunded
ORD-100158,2024-08-18,APAC,Wholesale,CUST-3184,SKU-1017,3,237.34,fulfilled
ORD-100159,2024-05-26,AMER,Web,CUST-2774,SKU-1020,5,470.33,cancelled
ORD-100160,2024-10-08,APAC,Web,CUST-2180,SKU-1001,5,559.56,refunded
ORD-100161,2025-11-02,APAC,Web,CUST-3800,SKU-1003,3,501.13,fulfilled
ORD-100162,2025-01-01,APAC,Web,CUST-4113,SKU-1014,2,152.26,cancelled
ORD-100163,2024-06-25,LATAM,Retail,CUST-2006,SKU-1018,2,120.08,fulfilled
ORD-100164,2025-03-20,LATAM,Web,CUST-4238,SKU-1021,4,96.11,fulfilled
ORD-100165,2025-11-08,LATAM,Retail,CUST-3544,SKU-1014,5,306.86,fulfilled
ORD-100166,2025-11-21,APAC,Web,CUST-3761,SKU-1012,2,130.89,fulfilled
ORD-100167,2024-01-11,APAC,Retail,CUST-4695,SKU-1004,4,595.91,fulfilled
ORD-100168,2025-10-24,APAC,Retail,CUST-4177,SKU-1012,4,199.6,fulfilled
ORD-100169,2025-08-27,LATAM,Retail,CUST-2882,SKU-1003,4,782.16,fulfilled
ORD-100170,2025-05-13,APAC,Web,CUST-2094,SKU-1006,5,553.51,fulfilled
ORD-100171,2024-08-10,LATAM,Retail,CUST-4223,SKU-1005,5,121.07,cancelled
ORD-100172,2025-03-05,APAC,Retail,CUST-2980,SKU-1009,1,109.4,fulfilled
ORD-100173,2025-10-17,AMER,Retail,CUST-3538,SKU-1009,3,285.48,fulfilled
ORD-100174,2025-09-09,LATAM,Web,CUST-3338,SKU-1021,2,30.28,fulfilled
ORD-100175,2024-05-29,LATAM,Web,CUST-1884,SKU-1021,3,65.34,fulfilled
ORD-100176,2025-05-16,APAC,Retail,CUST-1224,SKU-1002,5,1155.87,cancelled
ORD-100177,2024-08-16,APAC,Web,CUST-3979,SKU-1019,4,52.27,fulfilled
ORD-100178,2025-06-25,AMER,Wholesale,CUST-3028,SKU-1004,1,186.81,fulfilled
ORD-100179,2025-11-22,APAC,Retail,CUST-3072,SKU-1006,5,491.75,fulfilled
ORD-100180,2025-04-10,AMER,Web,CUST-4939,SKU-1014,1,100.61,refunded
ORD-100181,2024-08-14,APAC,Web,CUST-4803,SKU-1001,4,628.38,fulfilled
ORD-100182,2025-11-12,EMEA,Wholesale,CUST-3690,SKU-1007,2,44.38,fulfilled
ORD-100183,2024-01-05,APAC,Wholesale,CUST-4879,SKU-1001,5,890.85,fulfilled
ORD-100184,2024-01-28,AMER,Retail,CUST-3623,SKU-1014,2,140.02,fulfilled
ORD-100185,2025-08-08,APAC,Retail,CUST-1088,SKU-1015,1,73.6,fulfilled
ORD-100186,2025-04-13,AMER,Wholesale,CUST-1007,SKU-1005,4,122.05,fulfilled
ORD-100187,2024-09-28,APAC,Wholesale,CUST-1777,SKU-1012,3,181.71,refunded
ORD-100188,2024-07-15,EMEA,Web,CUST-1847,SKU-1013,5,474.16,cancelled
ORD-100189,2024-01-07,EMEA,Wholesale,CUST-1763,SKU-1001,5,847.96,fulfilled
ORD-100190,2025-02-25,AMER,Retail,CUST-4328,SKU-1004,3,462.07,cancelled
ORD-100191,2024-02-12,APAC,Web,CUST-3161,SKU-1008,2,220.72,fulfilled
ORD-100192,2024-10-20,LATAM,Retail,CUST-1847,SKU-1012,2,105.62,cancelled
ORD-100193,2024-11-27,APAC,Wholesale,CUST-1125,SKU-1018,3,127.64,refunded
ORD-100194,2025-08-04,EMEA,Web,CUST-4057,SKU-1006,2,207.9,fulfilled
ORD-100195,2025-05-14,AMER,Web,CUST-4039,SKU-1005,3,89.46,fulfilled
ORD-100196,2024-03-11,LATAM,Wholesale,CUST-3880,SKU-1001,5,897.48,fulfilled
ORD-100197,2024-12-09,APAC,Wholesale,CUST-2115,SKU-1004,2,253.56,fulfilled
ORD-100198,2024-08-05,APAC,Retail,CUST-1423,SKU-1009,2,184.87,fulfilled
ORD-100199,2025-11-27,APAC,Retail,CUST-2059,SKU-1015,4,268.13,fulfilled
ORD-100200,2024-06-19,APAC,Wholesale,CUST-2630,SKU-1018,4,206.93,fulfilled
ORD-100201,2024-05-09,APAC,Retail,CUST-1629,SKU-1014,3,295.88,fulfilled
ORD-100202,2025-09-14,APAC,Wholesale,CUST-2290,SKU-1006,4,332.61,fulfilled
ORD-100203,2024-07-28,LATAM,Web,CUST-1465,SKU-1014,5,348.68,fulfilled
ORD-100204,2024-06-26,EMEA,Retail,CUST-3771,SKU-1001,2,380.41,fulfilled
ORD-100205,2024-03-03,AMER,Wholesale,CUST-1856,SKU-1020,4,317.75,fulfilled
ORD-100206,2025-10-13,APAC,Wholesale,CUST-1961,SKU-1011,4,69.39,fulfilled
ORD-100207,2024-07-05,AMER,Retail,CUST-3051,SKU-1018,3,146.45,fulfilled
ORD-100208,2024-05-31,AMER,Retail,CUST-2584,SKU-1009,1,116.29,fulfilled
ORD-100209,2025-09-06,EMEA,Wholesale,CUST-3743,SKU-1009,1,79.28,fulfilled
ORD-100210,2025-11-15,LATAM,Retail,CUST-4637,SKU-1003,2,408.55,fulfilled
ORD-100211,2024-08-20,EMEA,Web,CUST-2022,SKU-1003,2,341.67,cancelled
ORD-100212,2024-05-26,APAC,Web,CUST-2747,SKU-1012,3,219.4,fulfilled
ORD-100213,2025-09-12,LATAM,Wholesale,CUST-1793,SKU-1020,2,122.58,refunded
ORD-100214,2024-06-07,EMEA,Retail,CUST-2519,SKU-1005,1,30.2,fulfilled
ORD-100215,2024-04-10,EMEA,Retail,CUST-4566,SKU-1006,2,238.85,fulfilled
ORD-100216,2025-11-15,AMER,Retail,CUST-4688,SKU-1007,5,118.89,fulfilled
ORD-100217,2024-05-04,AMER,Wholesale,CUST-3905,SKU-1014,3,272.69,fulfilled
ORD-100218,2025-11-28,APAC,Retail,CUST-4249,SKU-1003,4,793.77,fulfilled
ORD-100219,2024-04-28,APAC,Web,CUST-1211,SKU-1012,3,268.76,fulfilled
ORD-100220,2025-04-04,APAC,Wholesale,CUST-1579,SKU-1009,5,617.41,fulfilled
ORD-100221,2025-07-21,AMER,Wholesale,CUST-4890,SKU-1002,1,227.78,cancelled
ORD-100222,2025-05-23,EMEA,Retail,CUST-2493,SKU-1003,3,703.12,fulfilled
ORD-100223,2025-06-07,LATAM,Retail,CUST-3742,SKU-1018,5,236.32,fulfilled
ORD-100224,2024-01-07,LATAM,Wholesale,CUST-1394,SKU-1005,4,95.18,refunded
ORD-100225,2024-12-01,AMER,Web,CUST-1231,SKU-1015,4,249.99,cancelled
ORD-100226,2025-08-25,APAC,Web,CUST-3058,SKU-1009,4,410.5,fulfilled
ORD-100227,2025-03-10,APAC,Web,CUST-2067,SKU-1001,3,504.3,fulfilled
ORD-100228,2025-05-12,APAC,Wholesale,CUST-3665,SKU-1002,4,851.48,cancelled
ORD-100229,2024-03-08,AMER,Web,CUST-3650,SKU-1016,3,149.65,fulfilled
ORD-100230,2024-11-25,LATAM,Wholesale,CUST-1071,SKU-1020,3,172.38,refunded
ORD-100231,2024-09-11,AMER,Wholesale,CUST-2148,SKU-1005,3,72.33,cancelled
ORD-100232,2024-07-02,APAC,Web,CUST-4117,SKU-1019,3,50.36,fulfilled
ORD-100233,2024-11-17,AMER,Retail,CUST-1741,SKU-1017,5,387.62,fulfilled
ORD-100234,2024-12-26,APAC,Wholesale,CUST-1907,SKU-1001,2,273.85,fulfilled
ORD-100235,2025-02-18,LATAM,Web,CUST-4247,SKU-1018,4,231.92,fulfilled
ORD-100236,2025-04-30,LATAM,Wholesale,CUST-3446,SKU-1003,3,736.7,fulfilled
ORD-100237,2025-09-21,AMER,Wholesale,CUST-1082,SKU-1019,4,56.32,cancelled
ORD-100238,2025-12-30,LATAM,Web,CUST-2396,SKU-1007,1,21.22,cancelled
ORD-100239,2024-09-15,APAC,Retail,CUST-2670,SKU-1005,2,45,fulfilled
ORD-100240,2024-10-28,AMER,Web,CUST-1473,SKU-1006,5,444.03,refunded
ORD-100241,2025-08-28,AMER,Retail,CUST-4961,SKU-1016,1,36.95,cancelled
ORD-100242,2025-08-20,EMEA,Wholesale,CUST-4864,SKU-1012,3,193.03,cancelled
ORD-100243,2024-01-09,LATAM,Wholesale,CUST-3620,SKU-1003,4,927.03,fulfilled
ORD-100244,2024-07-31,LATAM,Web,CUST-2380,SKU-1014,4,334.84,refunded
ORD-100245,2025-11-29,APAC,Wholesale,CUST-3938,SKU-1009,3,286.26,fulfilled
ORD-100246,2024-04-29,LATAM,Web,CUST-3698,SKU-1014,3,277.2,cancelled
ORD-100247,2025-11-01,AMER,Web,CUST-3321,SKU-1017,4,285.49,fulfilled
ORD-100248,2024-11-04,EMEA,Web,CUST-3120,SKU-1008,3,224.53,cancelled
ORD-100249,2024-02-10,APAC,Wholesale,CUST-4062,SKU-1018,1,54.84,refunded
ORD-100250,2024-08-22,AMER,Wholesale,CUST-1459,SKU-1009,2,179.8,cancelled
ORD-100251,2024-06-20,LATAM,Retail,CUST-4866,SKU-1016,3,152.37,cancelled
ORD-100252,2024-09-28,EMEA,Wholesale,CUST-2180,SKU-1001,1,119.83,refunded
ORD-100253,2024-09-25,APAC,Wholesale,CUST-1867,SKU-1006,4,352.37,fulfilled
ORD-100254,2024-12-17,EMEA,Wholesale,CUST-2651,SKU-1001,5,772.7,cancelled
ORD-100255,2025-09-06,LATAM,Wholesale,CUST-4045,SKU-1016,3,121.84,cancelled
ORD-100256,2024-01-09,EMEA,Retail,CUST-1919,SKU-1006,3,262.45,fulfilled
ORD-100257,2025-08-06,AMER,Retail,CUST-1654,SKU-1018,1,44.27,fulfilled
ORD-100258,2025-06-04,EMEA,Retail,CUST-3730,SKU-1003,3,647.33,fulfilled
ORD-100259,2024-05-08,AMER,Web,CUST-2091,SKU-1013,3,303.68,fulfilled
ORD-100260,2025-03-07,LATAM,Retail,CUST-3259,SKU-1004,3,595.14,fulfilled
ORD-100261,2025-01-15,EMEA,Web,CUST-4517,SKU-1019,1,14.07,fulfilled
ORD-100262,2024-08-22,APAC,Web,CUST-3764,SKU-1002,3,621.06,cancelled
ORD-100263,2024-03-21,AMER,Retail,CUST-4365,SKU-1013,1,104.3,refunded
ORD-100264,2024-04-08,EMEA,Retail,CUST-3890,SKU-1004,5,809.23,refunded
ORD-100265,2025-04-23,APAC,Retail,CUST-1486,SKU-1019,3,45.89,fulfilled
ORD-100266,2024-03-17,AMER,Web,CUST-1261,SKU-1005,4,100.87,fulfilled
ORD-100267,2025-02-23,AMER,Wholesale,CUST-1994,SKU-1016,5,234.6,fulfilled
ORD-100268,2025-06-21,EMEA,Wholesale,CUST-2087,SKU-1003,1,253.53,fulfilled
ORD-100269,2024-01-19,AMER,Retail,CUST-3554,SKU-1019,3,41.17,cancelled
ORD-100270,2024-10-22,LATAM,Web,CUST-2736,SKU-1009,3,231.89,fulfilled
ORD-100271,2024-02-03,APAC,Wholesale,CUST-2566,SKU-1019,2,33.48,fulfilled
ORD-100272,2025-06-30,EMEA,Web,CUST-3656,SKU-1010,2,114.01,cancelled
ORD-100273,2024-05-28,EMEA,Wholesale,CUST-4159,SKU-1001,3,520.21,cancelled
ORD-100274,2024-08-26,EMEA,Wholesale,CUST-3579,SKU-1002,4,869.02,fulfilled
ORD-100275,2025-04-25,AMER,Retail,CUST-4218,SKU-1016,4,174.04,fulfilled
ORD-100276,2024-11-04,LATAM,Web,CUST-4110,SKU-1007,2,39.46,fulfilled
ORD-100277,2025-07-08,APAC,Web,CUST-1457,SKU-1020,4,281.94,fulfilled
ORD-100278,2024-05-09,EMEA,Wholesale,CUST-2116,SKU-1008,3,305.13,fulfilled
ORD-100279,2025-01-07,EMEA,Web,CUST-1178,SKU-1018,2,106.72,cancelled
ORD-100280,2025-04-20,AMER,Wholesale,CUST-4839,SKU-1006,5,649.32,fulfilled
ORD-100281,2025-10-24,APAC,Retail,CUST-2090,SKU-1017,4,276.41,fulfilled
ORD-100282,2024-02-29,APAC,Retail,CUST-3481,SKU-1006,5,494.44,refunded
ORD-100283,2025-11-16,LATAM,Retail,CUST-3335,SKU-1007,3,63.4,cancelled
ORD-100284,2025-08-09,AMER,Web,CUST-4044,SKU-1004,2,287.64,fulfilled
ORD-100285,2025-12-08,LATAM,Wholesale,CUST-1390,SKU-1014,1,78.03,fulfilled
ORD-100286,2025-04-16,APAC,Web,CUST-1144,SKU-1008,3,327.42,fulfilled
ORD-100287,2025-12-12,EMEA,Retail,CUST-2915,SKU-1011,3,64.37,refunded
ORD-100288,2025-04-28,EMEA,Retail,CUST-4656,SKU-1011,4,103.98,fulfilled
