order_date,region,category,channel,units,revenue
2025-09-13,APAC,Grocery,Retail,1,66.13
2025-05-25,AMER,Apparel,Web,4,608.31
2024-09-05,AMER,Grocery,Retail,5,629.49
2025-10-03,APAC,Grocery,Web,3,245.60
2024-01-26,APAC,Electronics,Retail,5,447.49
2025-04-17,EMEA,Electronics,Web,5,732.38
2025-08-26,AMER,Apparel,Retail,5,508.91
2025-09-27,EMEA,Beauty,Retail,3,342.28
2025-11-07,LATAM,Apparel,Wholesale,5,300.64
2024-12-25,EMEA,Outdoor,Web,2,195.81
2025-06-26,LATAM,Grocery,Retail,2,135.57
2024-11-12,EMEA,Grocery,Wholesale,6,577.79
2025-07-15,EMEA,Apparel,Retail,2,214.17
2025-10-28,LATAM,Home,Wholesale,6,449.25
2024-03-18,AMER,Home,Wholesale,1,144.61
2025-12-06,AMER,Electronics,Retail,2,294.85
2024-09-21,LATAM,Electronics,Web,7,403.33
2024-02-29,EMEA,Home,Retail,5,648.32
2025-12-27,LATAM,Home,Retail,5,339.49
2024-03-27,AMER,Home,Wholesale,5,679.05
2025-09-11,AMER,Home,Retail,2,222.19
2025-03-24,APAC,Apparel,Retail,4,357.64
2024-04-12,LATAM,Outdoor,Retail,1,97.60
2024-03-25,EMEA,Home,Retail,3,432.82
2025-01-02,APAC,Electronics,Retail,2,146.40
2024-03-30,EMEA,Home,Web,2,229.37
2025-01-17,AMER,Apparel,Wholesale,6,771.87
2024-08-25,EMEA,Beauty,Web,3,384.70
2024-09-06,APAC,Outdoor,Wholesale,1,74.25
2024-12-26,LATAM,Home,Wholesale,2,135.44
2024-02-14,AMER,Home,Web,1,160.85
2024-06-28,LATAM,Home,Wholesale,7,427.27
2025-11-25,APAC,Apparel,Wholesale,7,629.02
2025-10-07,LATAM,Apparel,Wholesale,7,423.87
2025-09-06,LATAM,Grocery,Wholesale,4,225.11
2025-09-04,AMER,Home,Wholesale,6,653.79
2025-11-27,LATAM,Outdoor,Retail,5,343.64
2024-12-15,APAC,Beauty,Wholesale,4,389.99
2024-12-26,APAC,Electronics,Web,4,314.85
2025-02-15,AMER,Home,Retail,4,654.79
2025-06-22,APAC,Beauty,Wholesale,4,520.75
2024-01-28,AMER,Grocery,Retail,6,902.88
2025-01-23,AMER,Outdoor,Web,1,124.30
2024-03-16,APAC,Electronics,Retail,5,622.55
2024-05-13,EMEA,Beauty,Web,5,523.15
2025-11-12,EMEA,Grocery,Wholesale,3,271.80
2024-02-21,AMER,Electronics,Wholesale,1,172.91
2025-02-20,APAC,Home,Retail,2,162.81
2024-02-18,APAC,Outdoor,Retail,2,161.89
2024-10-08,APAC,Electronics,Web,2,170.42
2024-12-25,APAC,Beauty,Wholesale,3,300.39
2025-08-01,APAC,Beauty,Web,3,202.07
2024-11-22,APAC,Grocery,Retail,3,266.50
2025-08-02,LATAM,Beauty,Retail,4,305.35
2024-05-24,APAC,Grocery,Retail,3,272.15
2024-01-19,AMER,Outdoor,Retail,6,892.76
2024-07-23,APAC,Beauty,Retail,4,315.93
2025-05-19,EMEA,Home,Retail,5,532.93
2025-02-15,EMEA,Beauty,Wholesale,3,338.47
2025-03-28,APAC,Grocery,Retail,7,943.01
2025-12-08,LATAM,Electronics,Retail,5,407.27
2024-12-31,APAC,Outdoor,Retail,7,468.50
2024-10-17,LATAM,Home,Web,4,265.49
2025-02-24,LATAM,Outdoor,Retail,6,578.73
2025-05-30,AMER,Outdoor,Web,7,854.40
2024-09-02,APAC,Beauty,Web,5,307.29
2024-08-16,AMER,Electronics,Wholesale,2,275.00
2025-06-16,APAC,Outdoor,Web,4,465.64
2024-05-27,AMER,Outdoor,Retail,4,733.66
2024-06-24,LATAM,Apparel,Wholesale,2,125.92
2024-03-08,EMEA,Electronics,Web,6,645.82
2024-12-27,EMEA,Grocery,Wholesale,2,163.17
2025-01-27,LATAM,Grocery,Wholesale,3,251.62
2025-02-22,EMEA,Outdoor,Web,6,738.80
2025-08-25,EMEA,Outdoor,Retail,2,258.54
2024-03-28,LATAM,Grocery,Wholesale,4,412.96
2025-08-08,AMER,Apparel,Wholesale,5,711.42
2024-08-10,LATAM,Outdoor,Wholesale,6,443.35
2024-12-07,AMER,Beauty,Wholesale,4,570.91
2025-11-08,AMER,Home,Retail,3,262.79
2025-07-07,AMER,Grocery,Retail,4,591.03
2025-04-30,APAC,Beauty,Wholesale,4,545.89
2025-12-27,APAC,Outdoor,Wholesale,1,84.96
2025-08-28,APAC,Apparel,Retail,7,671.93
2025-10-22,EMEA,Grocery,Retail,2,198.28
2025-08-13,APAC,Home,Retail,1,98.44
2025-03-30,APAC,Home,Wholesale,1,106.66
2025-03-09,APAC,Beauty,Retail,6,653.27
2024-04-14,APAC,Grocery,Retail,7,765.29
2024-04-02,APAC,Electronics,Retail,6,578.48
2025-05-04,EMEA,Grocery,Wholesale,2,273.90
2024-04-17,LATAM,Apparel,Web,5,441.12
2024-04-22,APAC,Home,Wholesale,2,229.35
2025-05-01,LATAM,Electronics,Web,4,421.96
2025-11-20,AMER,Electronics,Wholesale,6,557.14
2025-03-12,LATAM,Apparel,Retail,4,261.58
2024-03-20,EMEA,Grocery,Retail,3,376.32
2024-06-03,APAC,Beauty,Web,3,334.09
2024-11-15,APAC,Grocery,Web,4,373.12
2025-01-06,AMER,Home,Web,2,243.97
2025-08-12,AMER,Home,Retail,2,208.65
2025-08-14,APAC,Apparel,Wholesale,3,240.72
2025-09-30,LATAM,Electronics,Wholesale,5,304.78
2024-01-03,LATAM,Apparel,Wholesale,4,357.55
2025-02-18,AMER,Beauty,Wholesale,2,305.51
2024-02-03,LATAM,Electronics,Retail,7,458.18
2024-06-25,LATAM,Outdoor,Web,5,502.26
2024-12-27,LATAM,Apparel,Web,5,416.08
2024-11-23,AMER,Home,Web,2,275.49
2025-10-09,AMER,Apparel,Web,4,338.23
2025-07-21,AMER,Outdoor,Retail,3,485.06
2025-07-03,LATAM,Beauty,Wholesale,2,177.17
2025-10-31,LATAM,Home,Web,1,58.67
2025-08-01,LATAM,Outdoor,Web,5,258.18
2025-11-15,APAC,Grocery,Wholesale,4,326.36
2025-04-02,LATAM,Home,Retail,3,280.02
2024-06-12,LATAM,Grocery,Wholesale,2,137.53
2024-06-22,AMER,Apparel,Wholesale,5,649.28
2024-06-29,EMEA,Apparel,Wholesale,7,894.16
2024-04-11,EMEA,Beauty,Wholesale,4,478.23
2024-12-07,AMER,Outdoor,Web,2,185.96
2025-09-25,LATAM,Electronics,Web,2,133.86
2024-04-24,AMER,Electronics,Retail,3,581.49
2025-02-20,LATAM,Electronics,Web,3,263.35
2024-09-02,APAC,Outdoor,Web,6,474.49
2025-06-22,APAC,Outdoor,Wholesale,4,486.55
2025-06-09,EMEA,Grocery,Wholesale,4,546.85
2024-08-08,AMER,Beauty,Wholesale,7,963.69
2025-06-24,LATAM,Outdoor,Retail,6,512.95
2024-07-11,EMEA,Electronics,Retail,6,803.10
2024-07-04,APAC,Beauty,Retail,5,441.99
2024-05-30,LATAM,Home,Retail,3,302.87
2024-07-06,EMEA,Electronics,Wholesale,7,659.14
2025-02-23,LATAM,Grocery,Web,4,253.31
2024-09-16,LATAM,Home,Retail,2,154.37
2025-12-28,APAC,Electronics,Web,6,592.28
2025-01-21,EMEA,Home,Retail,1,127.84
2025-08-24,AMER,Beauty,Web,6,572.99
2024-01-13,LATAM,Apparel,Web,6,512.51
2024-01-25,AMER,Home,Retail,3,307.85
2024-09-10,LATAM,Beauty,Retail,2,116.00
2024-12-11,APAC,Outdoor,Wholesale,1,83.25
2025-06-18,EMEA,Grocery,Wholesale,3,384.17
2024-08-09,EMEA,Outdoor,Web,1,101.05
2024-03-24,EMEA,Electronics,Wholesale,2,285.36
2025-11-19,AMER,Electronics,Wholesale,7,701.19
2025-11-13,EMEA,Beauty,Retail,1,119.37
2025-02-16,AMER,Electronics,Wholesale,1,167.90
2024-07-29,AMER,Electronics,Retail,3,469.87
2024-05-07,APAC,Beauty,Wholesale,1,96.01
2024-11-11,LATAM,Electronics,Web,4,242.51
2025-03-20,LATAM,Electronics,Web,2,204.84
2025-04-16,AMER,Home,Wholesale,3,414.68
2025-06-25,AMER,Home,Web,5,548.73
2025-10-16,AMER,Apparel,Retail,3,397.98
2025-08-08,AMER,Beauty,Retail,7,717.96
2025-12-25,AMER,Outdoor,Retail,6,832.89
2024-02-05,EMEA,Apparel,Retail,3,417.32
2024-08-18,APAC,Apparel,Wholesale,7,503.20
2024-04-28,APAC,Electronics,Wholesale,3,261.30
2024-09-11,LATAM,Home,Web,4,222.37
2025-10-13,AMER,Grocery,Retail,5,432.37
2025-08-24,APAC,Grocery,Retail,2,131.81
2025-12-31,LATAM,Grocery,Wholesale,2,115.64
2025-10-21,APAC,Home,Web,4,258.79
2025-05-14,LATAM,Apparel,Retail,3,260.84
2025-04-29,EMEA,Grocery,Wholesale,3,500.90
2025-06-17,EMEA,Beauty,Web,6,782.09
2025-08-26,EMEA,Grocery,Wholesale,2,196.59
2024-12-26,LATAM,Outdoor,Retail,4,263.73
2024-01-23,AMER,Apparel,Retail,4,501.48
2024-11-18,LATAM,Grocery,Web,7,426.89
2025-10-05,AMER,Home,Web,2,183.63
2024-03-09,EMEA,Outdoor,Web,5,747.14
2025-02-19,AMER,Apparel,Retail,6,803.37
2024-06-18,LATAM,Beauty,Wholesale,3,214.36
2025-10-24,AMER,Grocery,Web,6,809.03
2024-09-25,EMEA,Apparel,Web,4,312.95
2025-06-03,APAC,Electronics,Retail,4,478.25
2025-12-01,AMER,Electronics,Web,1,138.24
2025-05-20,AMER,Beauty,Web,5,875.01
2025-07-16,APAC,Home,Wholesale,2,163.30
2025-10-12,LATAM,Grocery,Retail,2,117.93
2025-02-28,EMEA,Home,Web,6,586.62
2025-05-30,LATAM,Electronics,Web,5,343.09
2024-01-01,APAC,Outdoor,Retail,3,288.15
2024-07-04,AMER,Grocery,Web,2,300.76
2025-10-31,LATAM,Beauty,Web,3,224.80
2024-07-27,APAC,Beauty,Retail,6,718.58
2024-08-26,LATAM,Grocery,Retail,3,245.18
2025-09-01,AMER,Apparel,Wholesale,4,476.02
2025-03-11,APAC,Apparel,Wholesale,3,383.02
2024-05-20,EMEA,Beauty,Retail,5,566.38
2024-10-14,LATAM,Outdoor,Retail,1,73.00
2025-08-05,EMEA,Electronics,Wholesale,4,492.75
2025-08-15,EMEA,Electronics,Retail,6,651.17
2024-11-03,APAC,Grocery,Web,5,353.88
2024-03-04,AMER,Grocery,Web,5,688.18
2025-09-06,APAC,Grocery,Retail,4,373.73
2025-02-25,AMER,Electronics,Retail,1,128.58
2024-10-30,LATAM,Beauty,Wholesale,3,173.79
2024-09-17,APAC,Grocery,Wholesale,3,285.01
2024-07-13,EMEA,Home,Web,2,246.00
2025-11-26,LATAM,Home,Web,4,222.25
2025-01-03,APAC,Grocery,Retail,4,303.52
2025-05-01,EMEA,Beauty,Wholesale,6,741.43
2025-06-26,AMER,Home,Wholesale,2,323.00
2024-12-18,EMEA,Grocery,Retail,2,261.08
2024-12-31,LATAM,Grocery,Wholesale,5,296.87
2025-04-01,APAC,Electronics,Retail,3,363.08
2024-04-21,LATAM,Outdoor,Web,3,325.48
2025-05-20,EMEA,Home,Wholesale,5,776.18
2024-04-18,LATAM,Electronics,Retail,1,86.70
2025-08-17,APAC,Outdoor,Web,2,131.53
2025-11-26,LATAM,Electronics,Web,7,539.98
2024-07-07,APAC,Electronics,Retail,3,236.53
2024-11-02,LATAM,Apparel,Retail,5,344.59
2024-10-11,EMEA,Home,Web,4,414.20
2025-08-01,APAC,Electronics,Retail,7,459.22
2024-12-31,APAC,Grocery,Web,4,354.73
2025-07-05,AMER,Outdoor,Wholesale,1,145.96
2024-02-05,EMEA,Apparel,Web,6,582.15
2025-12-12,APAC,Apparel,Retail,5,369.26
2024-09-14,EMEA,Beauty,Wholesale,4,352.72
2025-12-25,EMEA,Home,Wholesale,5,502.86
2024-02-13,APAC,Outdoor,Retail,3,298.43
2024-07-14,EMEA,Grocery,Retail,4,404.00
2025-01-11,LATAM,Outdoor,Web,4,317.69
2025-06-08,LATAM,Electronics,Wholesale,2,159.05
2024-04-07,LATAM,Electronics,Web,5,476.68
2024-12-30,APAC,Home,Web,2,197.43
2025-11-05,EMEA,Grocery,Wholesale,6,571.82
2025-01-20,AMER,Home,Web,4,445.70
2025-12-07,AMER,Beauty,Retail,1,107.99
2024-05-30,APAC,Electronics,Wholesale,4,356.40
2025-02-10,APAC,Beauty,Web,5,510.99
2024-12-15,EMEA,Outdoor,Retail,5,624.80
2025-05-24,AMER,Beauty,Retail,3,383.80
2024-11-30,LATAM,Beauty,Wholesale,3,155.30
2025-03-12,AMER,Outdoor,Web,5,725.42
2024-11-11,AMER,Grocery,Web,6,713.85
2024-03-03,EMEA,Home,Web,2,237.69
2024-06-28,LATAM,Apparel,Web,3,265.31
2024-12-07,LATAM,Grocery,Web,5,306.17
2024-02-03,LATAM,Outdoor,Web,5,406.99
2025-09-05,EMEA,Electronics,Wholesale,3,262.14
2025-02-20,APAC,Home,Web,4,421.27
2024-12-05,AMER,Beauty,Retail,2,238.28
2024-01-05,LATAM,Home,Web,2,154.22
2025-09-21,APAC,Grocery,Web,1,98.72
2024-06-13,LATAM,Apparel,Web,4,388.68
2024-04-23,EMEA,Apparel,Web,2,222.44
2025-11-29,EMEA,Electronics,Web,4,411.54
2024-03-11,AMER,Grocery,Wholesale,3,537.66
2024-10-16,AMER,Outdoor,Web,7,643.42
2024-06-14,AMER,Electronics,Retail,2,326.05
2024-11-21,EMEA,Electronics,Retail,2,196.06
2025-02-05,LATAM,Electronics,Web,3,294.79
2025-09-26,LATAM,Beauty,Web,4,302.59
2024-08-31,APAC,Outdoor,Wholesale,4,351.07
2024-08-03,LATAM,Outdoor,Wholesale,5,271.29
2025-04-04,LATAM,Beauty,Retail,3,217.64
2024-10-29,APAC,Electronics,Retail,3,183.37
2025-02-08,AMER,Outdoor,Web,7,1066.03
2024-06-19,LATAM,Apparel,Wholesale,3,191.61
2025-09-29,LATAM,Home,Web,7,479.92
2024-12-10,AMER,Home,Wholesale,5,562.57
2025-12-31,LATAM,Electronics,Wholesale,7,391.34
2024-08-23,EMEA,Beauty,Web,7,647.14
2025-12-08,EMEA,Home,Wholesale,6,630.88
2025-04-11,EMEA,Grocery,Wholesale,2,216.93
2025-02-04,AMER,Apparel,Retail,5,857.86
2024-09-02,APAC,Beauty,Web,5,306.44
2024-04-12,AMER,Beauty,Web,2,339.55
2025-03-28,EMEA,Grocery,Web,3,243.78
2024-12-17,APAC,Apparel,Retail,4,350.47
2024-10-30,AMER,Beauty,Web,6,796.11
2025-10-02,EMEA,Home,Web,5,446.90
2025-02-28,LATAM,Grocery,Web,6,432.47
2025-03-02,LATAM,Apparel,Wholesale,4,406.62
2024-11-22,AMER,Grocery,Web,3,383.32
2025-03-14,EMEA,Beauty,Web,3,224.29
2024-08-22,AMER,Home,Retail,6,622.26
2025-08-09,LATAM,Apparel,Wholesale,5,393.79
2024-03-17,APAC,Beauty,Retail,6,543.60
2025-10-11,APAC,Home,Wholesale,2,185.87
2025-05-01,LATAM,Grocery,Wholesale,5,325.17
2025-07-12,AMER,Home,Retail,2,218.79
2025-10-17,AMER,Home,Retail,5,467.10
2025-03-11,AMER,Home,Web,4,583.62
2025-11-15,APAC,Outdoor,Wholesale,3,196.71
2024-12-31,APAC,Electronics,Wholesale,1,78.98
2025-10-16,LATAM,Electronics,Retail,2,131.59
2025-12-23,LATAM,Grocery,Web,7,356.36
2025-04-27,LATAM,Electronics,Web,6,564.57
2025-12-06,APAC,Home,Retail,5,485.90
2025-05-26,LATAM,Electronics,Wholesale,5,404.83
2025-10-18,APAC,Grocery,Retail,4,261.91
2024-12-04,AMER,Grocery,Wholesale,2,261.22
2024-07-05,LATAM,Home,Retail,5,289.27
2025-03-17,AMER,Electronics,Retail,2,308.96
2024-06-02,APAC,Outdoor,Wholesale,7,569.43
2024-03-19,APAC,Outdoor,Web,7,879.93
2024-09-07,AMER,Grocery,Web,3,321.53
2025-11-05,EMEA,Beauty,Wholesale,6,669.84
2025-01-29,LATAM,Home,Web,6,415.53
2024-02-26,EMEA,Outdoor,Retail,6,692.69
2025-04-27,AMER,Grocery,Web,5,815.38
2025-04-11,AMER,Grocery,Wholesale,2,237.74
2025-08-04,AMER,Grocery,Wholesale,6,843.70
2025-01-20,LATAM,Grocery,Web,5,418.33
2024-01-02,AMER,Beauty,Web,4,406.48
2024-03-22,LATAM,Apparel,Retail,3,300.88
2024-10-12,EMEA,Apparel,Web,3,321.15
2024-12-18,AMER,Beauty,Web,4,524.35
2024-07-04,APAC,Home,Web,5,476.77
2024-08-03,APAC,Beauty,Wholesale,6,436.52
2025-01-26,APAC,Apparel,Wholesale,2,194.02
2024-02-26,AMER,Apparel,Web,1,171.17
2025-05-11,EMEA,Home,Wholesale,5,776.95
2025-10-17,EMEA,Apparel,Retail,4,404.81
2025-01-06,LATAM,Apparel,Retail,5,302.53
2025-09-07,EMEA,Outdoor,Retail,4,442.79
2025-06-28,LATAM,Beauty,Web,4,247.20
2024-01-11,EMEA,Outdoor,Web,4,403.66
2024-01-09,EMEA,Electronics,Wholesale,2,244.64
2025-09-14,AMER,Apparel,Wholesale,5,487.08
2024-05-05,AMER,Grocery,Web,2,350.61
2024-02-23,EMEA,Electronics,Web,3,462.00
2024-11-05,APAC,Grocery,Retail,6,462.80
2025-02-04,AMER,Electronics,Web,2,278.29
2025-05-04,LATAM,Grocery,Retail,3,264.45
2024-07-31,APAC,Electronics,Retail,2,200.40
2024-05-21,APAC,Home,Web,6,566.85
2024-11-30,AMER,Grocery,Web,7,893.03
2024-05-23,EMEA,Grocery,Retail,6,1005.42
2024-06-16,APAC,Outdoor,Web,4,470.08
2025-03-09,LATAM,Grocery,Web,4,328.82
2024-08-07,EMEA,Apparel,Wholesale,1,122.29
2025-04-28,LATAM,Apparel,Web,5,414.62
2024-05-10,EMEA,Electronics,Retail,2,276.90
2025-07-02,AMER,Home,Web,5,690.53
2024-07-19,APAC,Home,Wholesale,1,114.28
2024-01-12,EMEA,Electronics,Web,6,761.36
2025-12-29,LATAM,Beauty,Wholesale,7,579.76
2025-06-26,LATAM,Beauty,Web,6,376.03
2025-03-21,EMEA,Grocery,Web,2,133.52
2025-02-18,APAC,Grocery,Web,5,637.73
2024-12-02,AMER,Grocery,Wholesale,5,625.78
2024-10-26,EMEA,Apparel,Wholesale,3,310.34
2024-06-01,LATAM,Apparel,Wholesale,7,600.38
2025-11-17,EMEA,Beauty,Retail,4,427.42
2024-12-02,APAC,Home,Wholesale,2,134.19
2024-05-19,APAC,Beauty,Retail,4,482.42
2025-06-13,APAC,Outdoor,Retail,1,112.27
2024-10-26,LATAM,Beauty,Web,5,293.86
2024-05-29,AMER,Apparel,Retail,6,900.95
2024-01-07,APAC,Electronics,Web,6,675.41
2024-08-22,LATAM,Beauty,Retail,5,342.19
2025-04-16,LATAM,Electronics,Web,5,448.47
2025-11-06,AMER,Beauty,Web,2,272.47
2024-09-30,LATAM,Home,Retail,4,258.35
2025-08-26,APAC,Beauty,Wholesale,6,508.76
2024-07-07,AMER,Grocery,Retail,2,246.54
2024-06-14,EMEA,Apparel,Wholesale,7,824.77
2025-04-11,LATAM,Apparel,Retail,6,507.33
2025-10-22,APAC,Home,Wholesale,5,376.82
2024-11-27,APAC,Apparel,Web,5,354.01
2024-06-24,LATAM,Apparel,Wholesale,3,285.75
2024-11-15,AMER,Apparel,Retail,1,112.58
2024-02-19,EMEA,Outdoor,Web,5,791.76
2025-05-03,EMEA,Home,Wholesale,4,642.67
2025-05-13,EMEA,Home,Web,4,470.31
2024-09-19,APAC,Grocery,Wholesale,7,506.92
2025-10-18,AMER,Electronics,Retail,3,364.54
2025-10-04,APAC,Home,Web,6,440.60
2024-11-15,APAC,Grocery,Web,3,270.24
2025-03-16,AMER,Beauty,Web,6,1083.81
2024-10-23,EMEA,Grocery,Retail,4,416.06
2024-09-26,AMER,Grocery,Wholesale,4,423.19
2024-10-24,AMER,Apparel,Wholesale,2,210.29
2025-11-07,EMEA,Grocery,Web,4,477.38
2025-10-27,LATAM,Apparel,Web,5,277.21
2025-12-05,EMEA,Apparel,Web,1,108.84
2025-10-22,APAC,Apparel,Retail,6,438.19
2024-07-03,LATAM,Beauty,Web,7,581.77
2024-02-11,EMEA,Electronics,Wholesale,1,104.26
2024-04-03,APAC,Grocery,Wholesale,1,119.66
2025-04-01,EMEA,Grocery,Wholesale,2,266.49
2025-07-04,AMER,Beauty,Retail,3,305.98
2024-07-30,LATAM,Electronics,Retail,2,130.48
2025-05-14,EMEA,Beauty,Retail,2,282.23
2024-02-26,LATAM,Beauty,Web,6,439.56
2025-01-11,EMEA,Beauty,Wholesale,6,533.65
2024-07-13,AMER,Grocery,Web,5,516.90
2025-06-10,APAC,Home,Retail,6,767.38
2025-01-08,APAC,Beauty,Wholesale,3,326.64
2024-12-23,EMEA,Grocery,Wholesale,4,329.29
2025-05-05,AMER,Home,Retail,6,760.80
2025-10-25,LATAM,Outdoor,Web,6,344.82
2024-02-02,EMEA,Apparel,Retail,1,146.79
2024-05-06,EMEA,Outdoor,Web,1,152.04
2025-10-17,LATAM,Apparel,Web,1,69.47
2025-04-12,EMEA,Apparel,Wholesale,5,645.54
2024-01-27,AMER,Grocery,Wholesale,2,202.22
2025-05-09,APAC,Electronics,Retail,3,322.86
2024-01-11,EMEA,Apparel,Web,4,437.52
2024-10-08,AMER,Beauty,Web,2,214.74
2025-09-12,EMEA,Home,Wholesale,6,741.56
2024-08-05,LATAM,Outdoor,Wholesale,2,103.13
2025-01-31,LATAM,Home,Web,6,429.15
2025-11-13,LATAM,Grocery,Retail,5,247.54
2024-07-17,LATAM,Grocery,Wholesale,7,578.82
2025-05-27,AMER,Apparel,Retail,3,560.35
2024-04-27,AMER,Outdoor,Web,4,558.03
2025-05-21,AMER,Apparel,Retail,5,730.48
2024-10-21,APAC,Electronics,Web,3,189.75
2025-04-02,LATAM,Outdoor,Retail,2,144.20
2025-12-23,AMER,Apparel,Web,2,280.44
2025-11-21,EMEA,Outdoor,Web,3,357.18
2025-08-25,EMEA,Outdoor,Retail,2,226.94
2024-11-10,EMEA,Outdoor,Wholesale,7,581.45
2025-09-22,AMER,Outdoor,Web,4,334.63
2025-07-26,EMEA,Grocery,Retail,5,637.85
2024-12-18,APAC,Outdoor,Wholesale,6,625.48
2024-09-28,AMER,Apparel,Wholesale,5,422.59
2025-07-10,APAC,Beauty,Retail,5,519.98
2024-09-07,LATAM,Outdoor,Web,6,425.37
2025-07-31,APAC,Home,Web,6,557.38
2025-10-21,EMEA,Outdoor,Web,7,700.05
2025-04-18,LATAM,Apparel,Web,3,309.47
2025-11-22,APAC,Electronics,Web,3,275.00
2024-01-13,AMER,Home,Web,2,256.50
2025-06-09,LATAM,Apparel,Retail,6,551.03
2025-12-21,AMER,Outdoor,Retail,4,377.19
2025-03-16,AMER,Grocery,Wholesale,6,1101.30
2025-05-27,APAC,Beauty,Retail,4,423.99
2025-04-01,AMER,Beauty,Retail,4,675.67
2024-07-30,LATAM,Outdoor,Wholesale,3,266.25
2025-06-04,AMER,Home,Web,1,109.15
2024-07-29,APAC,Outdoor,Retail,3,235.81
2024-12-10,EMEA,Home,Retail,3,389.50
2025-01-26,AMER,Grocery,Web,6,745.22
2025-07-10,AMER,Beauty,Retail,5,520.39
2024-07-07,EMEA,Home,Retail,2,267.04
2025-11-29,AMER,Electronics,Wholesale,7,721.24
2024-06-13,LATAM,Apparel,Web,4,259.90
2024-10-11,LATAM,Grocery,Web,2,117.98
2024-03-20,EMEA,Grocery,Wholesale,7,862.88
2024-08-17,LATAM,Electronics,Retail,2,150.65
2024-08-20,APAC,Home,Web,2,139.99
2024-04-11,LATAM,Electronics,Web,6,502.87
2025-10-09,AMER,Apparel,Wholesale,2,234.92
2024-08-16,EMEA,Apparel,Wholesale,6,598.76
2025-10-15,EMEA,Beauty,Retail,4,341.30
2025-10-21,AMER,Electronics,Wholesale,5,409.26
2025-11-21,EMEA,Apparel,Web,2,163.66
2024-07-20,LATAM,Home,Wholesale,5,284.79
2025-04-15,LATAM,Outdoor,Wholesale,6,396.27
2024-11-04,LATAM,Beauty,Web,5,382.62
2024-08-01,AMER,Home,Wholesale,6,699.39
2025-04-05,AMER,Outdoor,Retail,3,458.58
2025-04-21,APAC,Home,Web,5,454.72
2025-08-28,LATAM,Electronics,Retail,5,412.97
2024-08-27,EMEA,Apparel,Wholesale,7,857.17
2024-05-06,APAC,Electronics,Web,7,941.98
2024-11-23,AMER,Home,Web,1,125.52
2024-04-19,LATAM,Beauty,Web,6,422.96
2025-09-23,AMER,Outdoor,Web,4,549.17
2025-06-10,AMER,Home,Web,4,672.05
2024-07-18,LATAM,Apparel,Retail,3,167.47
2025-06-14,AMER,Grocery,Wholesale,2,216.04
2025-01-20,EMEA,Apparel,Wholesale,4,437.13
2024-01-22,APAC,Apparel,Retail,3,268.55
2025-06-17,LATAM,Home,Retail,5,490.28
2025-06-18,APAC,Grocery,Web,7,744.20
2025-12-10,LATAM,Home,Retail,7,377.23
2024-10-06,AMER,Home,Web,4,477.21
2025-08-20,AMER,Apparel,Wholesale,7,889.97
2025-05-31,AMER,Home,Wholesale,7,1089.21
2024-09-12,EMEA,Beauty,Web,5,570.11
2024-03-24,AMER,Electronics,Wholesale,5,587.85
2024-04-07,LATAM,Outdoor,Wholesale,5,331.23
2025-02-15,APAC,Grocery,Retail,3,242.21
2024-09-19,EMEA,Beauty,Retail,3,325.22
2025-10-08,LATAM,Outdoor,Web,1,75.42
